X; Y; Z; Time
4,286;0;-2,096;3,18
4,286;0;-2,096;3,18
4,286;0;-2,096;3,19
4,286;0;-2,096;3,19
4,286;0;-2,096;3,19
4,286;0;-2,096;3,2
4,286;0;-2,096;3,2
4,286;0;-2,096;3,2
4,286;0;-2,096;3,21
4,286;0;-2,096;3,21
4,154;0;-2,309;3,21
4,154;0;-2,309;3,22
4,013;0;-2,516;3,22
3,725;0;-2,881;3,24
3,588;0;-3,033;3,24
3,588;0;-3,033;3,25
3,423;0;-3,13;3,25
3,423;0;-3,13;3,25
3,286;0;-3,227;3,26
3,286;0;-3,227;3,26
3,152;0;-3,282;3,26
3,152;0;-3,282;3,27
3,008;0;-3,309;3,27
3,008;0;-3,309;3,28
2,902;0;-3,334;3,28
2,902;0;-3,334;3,28
2,796;0;-3,328;3,29
2,796;0;-3,328;3,29
2,74;0;-3,342;3,29
2,74;0;-3,342;3,3
2,74;0;-3,342;3,3
2,698;0;-3,345;3,3
2,698;0;-3,345;3,31
2,671;0;-3,337;3,31
2,664;0;-3,342;3,32
2,664;0;-3,342;3,32
2,65;0;-3,324;3,32
2,65;0;-3,324;3,33
2,65;0;-3,324;3,33
2,65;0;-3,324;3,33
2,65;0;-3,324;3,34
2,657;0;-3,319;3,34
2,664;0;-3,313;3,34
2,664;0;-3,313;3,35
2,664;0;-3,313;3,35
2,664;0;-3,313;3,35
2,657;0;-3,29;3,36
2,657;0;-3,29;3,36
2,664;0;-3,285;3,37
2,664;0;-3,285;3,37
2,664;0;-3,285;3,37
2,664;0;-3,285;3,38
2,664;0;-3,285;3,38
2,664;0;-3,285;3,38
2,664;0;-3,285;3,39
2,664;0;-3,285;3,39
2,664;0;-3,285;3,39
2,664;0;-3,285;3,4
2,664;0;-3,285;3,4
2,664;0;-3,285;3,4
2,664;0;-3,285;3,41
2,664;0;-3,285;3,41
2,664;0;-3,285;3,41
2,664;0;-3,285;3,42
2,664;0;-3,285;3,42
2,664;0;-3,285;3,42
2,664;0;-3,285;3,43
2,664;0;-3,285;3,43
2,664;0;-3,285;3,43
2,664;0;-3,285;3,43
2,664;0;-3,285;3,44
2,664;0;-3,285;3,44
2,664;0;-3,285;3,44
2,664;0;-3,285;3,45
2,664;0;-3,285;3,45
2,664;0;-3,285;3,45
2,664;0;-3,285;3,46
2,664;0;-3,285;3,46
2,664;0;-3,285;3,46
2,664;0;-3,285;3,47
2,664;0;-3,285;3,47
2,664;0;-3,285;3,47
2,664;0;-3,285;3,48
2,664;0;-3,285;3,48
2,664;0;-3,285;3,48
2,664;0;-3,285;3,49
2,664;0;-3,285;3,49
2,664;0;-3,285;3,49
2,664;0;-3,285;3,5
2,664;0;-3,285;3,5
2,664;0;-3,285;3,5
2,664;0;-3,285;3,51
2,664;0;-3,285;3,51
2,664;0;-3,285;3,51
2,664;0;-3,285;3,51
2,664;0;-3,285;3,52
2,664;0;-3,285;3,52
2,664;0;-3,285;3,52
